Description,Date,Earned,Paid,Category,Destination,Source,Net,,Balance,Involved
Upland Gas,12/7/2021,,$23.99,Transportation,,Checking,-$23.99,,$6971.16,Checking
Silas Pi Stuff,12/9/2021,,$52.70,Gift,,Discover,-$52.70,,$6918.46,Discover
Ring Box,12/9/2021,,$14.96,M,,Discover,-$14.96,,$6903.50,Discover
Raspberry Pi & Teapot Gifts,12/9/2021,,$72.74,Groceries,,Discover,-$72.74,,$6830.76,Discover
Apple Card Rewards,12/10/2021,$37.44,$36.00,Rewards,Checking,Checking,$1.44,,$6832.20,CheckingChecking
Interest Paid,12/10/2021,$0.01,,Interest,Checking,,$0.01,,$6832.21,Checking
Interest Paid,12/10/2021,$1.62,,Interest,Savings,,$1.62,,$6833.83,Savings
URBANLIGHTC 888-221-1161 CA,12/13/2021,,$40.00,Tithe (Legal),,Discover,-$40.00,,$6793.83,Discover
Grandma C B-Day,12/14/2021,$22.00,,Gift,Checking,,$22.00,,$6815.83,Checking
DISCOVER E-PAYMENT,12/16/2021,$90.32,$90.32,Misc,Discover,Savings,$0.00,,$6815.83,DiscoverSavings
Chicago Parking,12/16/2021,,$2.00,Fees,,Apple Card,-$2.00,,$6813.83,Apple Card
Apple TV for Parents,12/17/2021,,$54.00,Gift,,Checking,-$54.00,,$6759.83,Checking
Whataburger,12/19/2021,,$8.00,Food,,Apple Card,-$8.00,,$6751.83,Apple Card
Walmart Slinky,12/19/2021,,$3.79,Toys,,Apple Card,-$3.79,,$6748.04,Apple Card
Spiderman Movie,12/20/2021,,$8.00,Entertainment,,Checking,-$8.00,,$6740.04,Checking
Subscription Acorns,12/20/2021,,$1.00,Investments,,Checking,-$1.00,,$6739.04,Checking
Gas Chicago,12/20/2021,,$32.22,Transportation,,Checking,-$32.22,,$6706.82,Checking
Tyler Breakfast w/ Gavin,12/20/2021,,$14.30,Food,,Apple Card,-$14.30,,$6692.52,Apple Card
Parents Christmas Gift,12/21/2021,$50.00,,Gift,Checking,,$50.00,,$6742.52,Checking
Chicago Airport Parking,12/22/2021,,$60.00,Travel,,Discover,-$60.00,,$6682.52,Discover
Walmart Proposal Prep,12/22/2021,,$41.20,M,,Apple Card,-$41.20,,$6641.32,Apple Card
Tim Gift and Masks,12/23/2021,,$36.53,Gift,,Discover,-$36.53,,$6604.79,Discover
Liz Mug,12/24/2021,,$20.41,Gift,,Discover,-$20.41,,$6584.38,Discover
Canceled Amtrak Reward,12/27/2021,$0.40,$0.40,Misc,Checking,Apple Card,$0.00,,$6584.38,CheckingApple Card
Taylor Spring22 Bill,12/27/2021,,$101.00,Direct College,,Checking,-$101.00,,$6483.38,Checking
Transfer,12/27/2021,$200.00,$200.00,Misc,Checking,Savings,$0.00,,$6483.38,CheckingSavings
Acorns Earnings,12/27/2021,$42.39,,Investments,Acorns,,$42.39,,$6525.77,Acorns
ALDI Groceries,12/29/2021,,$6.97,Groceries,,Apple Card,-$6.97,,$6518.80,Apple Card
Spotify,12/30/2021,,$9.99,Entertainment,,Discover,-$9.99,,$6508.81,Discover
Apple,12/30/2021,,$2.79,Entertainment,,Discover,-$2.79,,$6506.02,Discover
Giordanos Lunch,12/31/2021,,$30.77,Food,,Apple Card,-$30.77,,$6475.25,Apple Card
Apple Card Payment,12/31/2021,$1393.89,$1393.89,Misc,Apple Card,Savings,$0.00,,$6475.25,Apple CardSavings
South Shore Chicago Train,12/31/2021,,$57.00,Travel,,Discover,-$57.00,,$6418.25,Discover
Acorns Invest Transfer,12/31/2021,$2352.84,$2352.84,Investments,Checking,Acorns,$0.00,,$6418.25,CheckingAcorns
Toll Road,1/2/2022,,$6.00,Transportation,,Apple Card,-$6.00,,$6412.25,Apple Card
Wal-Mart,1/3/2022,,$1.39,Groceries,,Discover,-$1.39,,$6410.86,Discover
GasBuddy,1/3/2022,,$30.92,Transportation,,Checking,-$30.92,,$6379.94,Checking
Ric Steam Gift Card,1/4/2022,,$25.00,Gift,,Discover,-$25.00,,$6354.94,Discover
Liberty Mutual,1/5/2022,,$49.42,Transportation,,Checking,-$49.42,,$6305.52,Checking
Tyler Wedding Fit,1/10/2022,,$12.67,Gift,,Discover,-$12.67,,$6292.85,Discover
Vollyball Imleagues,1/10/2022,,$6.84,Fees,,Discover,-$6.84,,$6286.01,Discover
Interest Paid,1/10/2022,$0.08,,Interest,Checking,,$0.08,,$6286.09,Checking
Interest Paid,1/10/2022,$1.38,,Interest,Savings,,$1.38,,$6287.47,Savings
Urban Light Tithe,1/13/2022,,$40.00,Tithe (Legal),,Discover,-$40.00,,$6247.47,Discover
Discover Payment,1/15/2022,$363.39,$363.39,Misc,Discover,Savings,$0.00,,$6247.47,DiscoverSavings
Tim Loan,1/18/2022,$4000.00,$4000.00,Misc,Checking,Tim Loan,$0.00,,$6247.47,CheckingTim Loan
Gable Hill Booking,1/19/2022,,$850.00,Wedding,,Apple Card,-$850.00,,$5397.47,Apple Card
Gas,1/19/2022,,$30.34,Transportation,,Checking,-$30.34,,$5367.13,Checking
Gas,1/19/2022,,$29.00,Transportation,,Checking,-$29.00,,$5338.13,Checking
Subscription Acorns,1/21/2022,,$1.00,Investments,,Checking,-$1.00,,$5337.13,Checking
Applebees Aps,1/24/2022,,$9.21,Food,,Checking,-$9.21,,$5327.92,Checking
Discover Rewards,1/24/2022,$95.00,,Rewards,Gift Card,,$95.00,,$5422.92,Gift Card
Textbook: Where Wisdom May Be Found,1/25/2022,,$10.69,Textbook,,Discover,-$10.69,,$5412.23,Discover
Discount Tire: 4 Tires,1/26/2022,,$385.39,Travel,,Apple Card,-$385.39,,$5026.84,Apple Card
Razor,1/26/2022,,$3.67,Groceries,,Discover,-$3.67,,$5023.17,Discover
GasBuddy,1/28/2022,,$30.56,Transportation,,Checking,-$30.56,,$4992.61,Checking
Apple Subscription,1/28/2022,,$0.99,Entertainment,,Apple Card,-$0.99,,$4991.62,Apple Card
Apple Card Payment,2/1/2022,$109.37,$109.37,Misc,Apple Card,Savings,$0.00,,$4991.62,Apple CardSavings
Liberty Mutual,2/4/2022,,$49.42,Transportation,,Checking,-$49.42,,$4942.20,Checking
Wedding Venue Gable Hills,2/4/2022,,$1575.00,Wedding,,Checking,-$1575.00,,$3367.20,Checking
M Socks and Sun Prisms,2/6/2022,,$27.80,M,,Discover,-$27.80,,$3339.40,Discover
Differential Equations Matlab Book,2/9/2022,,$21.54,Textbook,,Discover,-$21.54,,$3317.86,Discover
Invitation Envelops,2/9/2022,,$9.00,Wedding,,Discover,-$9.00,,$3308.86,Discover
Daily Cash Adjustment,2/9/2022,$0.83,$0.83,,Checking,Apple Card,$0.00,,$3308.86,CheckingApple Card
Goodwill Cups Bubbles,2/10/2022,,$3.00,Entertainment,,Discover,-$3.00,,$3305.86,Discover
Club FOSO Bubbles Materials,2/10/2022,,$56.96,Entertainment,,Discover,-$56.96,,$3248.90,Discover
Interest Paid,2/10/2022,$0.44,,Interest,Checking,,$0.44,,$3249.34,Checking
Interest Paid,2/10/2022,$0.76,,Interest,Savings,,$0.76,,$3250.10,Savings
Delta Flight Seattle —> South Bend,2/10/2022,$275.20,$412.80,Travel,Checking,Apple Card,-$137.60,,$3112.50,CheckingApple Card
Flight IND --> Seattle,2/10/2022,,$137.60,Travel,,Checking,-$137.60,,$2974.90,SavingsChecking
Gavin’s Ticket,2/10/2022,$137.60,$137.20,,Checking,Checking,$0.40,,$2975.30,SavingsChecking
Laserflash,2/12/2022,$40.00,$80.00,Entertainment,Checking,Apple Card,-$40.00,,$2935.30,CheckingApple Card
Urban Light Tithe,2/13/2022,,$40.00,Tithe (Legal),,Discover,-$40.00,,$2895.30,Discover
Discover Payment,2/15/2022,$272.62,$272.62,Misc,Discover,Savings,$0.00,,$2895.30,DiscoverSavings
The Reason For God Textbook,2/16/2022,,$11.76,Textbook,,Discover,-$11.76,,$2883.54,Discover
TransfeChecking —> Savings,2/16/2022,$2000.00,$2000.00,Misc,Savings,Checking,$0.00,,$2883.54,SavingsChecking
Aunt Kris Amazon Gift Card,2/18/2022,$50.00,,Gift,Gift Card,,$50.00,,$2933.54,Gift Card
Apple Card Rewards,2/19/2022,$21.39,,Rewards,Checking,,$21.39,,$2954.93,Checking
Covid Test,2/21/2022,,$10.69,Cosmetics,,Apple Card,-$10.69,,$2944.24,Apple Card
Subscription Acorns,2/22/2022,,$1.00,Investments,,Checking,-$1.00,,$2943.24,Checking
Robert  Swanson Apple Cash TRANSFER,2/22/2022,$51.00,,Rewards,Checking,,$51.00,,$2994.24,Checking
McDonald's,2/22/2022,,$3.99,Food,,Checking,-$3.99,,$2990.25,Checking
GasBuddy GasBuddy,2/25/2022,,$36.88,Transportation,,Checking,-$36.88,,$2953.37,Checking
Apple Card Payment,2/28/2022,$1273.15,$1273.15,Misc,Apple Card,Savings,$0.00,,$2953.37,Apple CardSavings
Apple Subscription,2/28/2022,,$0.99,Entertainment,,Gift Card,-$0.99,,$2952.38,Gift Card
Ally Invest Withdrawal,3/1/2022,$1467.64,$1500.00,Investments,Savings,Ally Invest,-$32.36,,$2920.02,SavingsAlly Invest
50 First Dates Movie,3/2/2022,,$2.26,Entertainment,,Discover,-$2.26,,$2917.76,Discover
Silas Gift Game Controller,3/2/2022,,$25.56,Gift,,Gift Card,-$25.56,,$2892.20,Gift Card
Gable Hill Final Payment,3/4/2022,,$1575.00,Wedding,,Checking,-$1575.00,,$1317.20,Checking
Liberty Mutual,3/4/2022,,$49.42,Transportation,,Checking,-$49.42,,$1267.78,Checking
Netland Contemp Textbook,3/6/2022,,$22.87,Textbook,,Gift Card,-$22.87,,$1244.91,Gift Card
GasBuddy GasBuddy,3/8/2022,,$32.93,Transportation,,Checking,-$32.93,,$1211.98,Checking
Airband,3/9/2022,,$5.00,Entertainment,,Checking,-$5.00,,$1206.98,Checking
Honeymoon Airbnb A,3/9/2022,,$1286.09,Wedding,,Apple Card,-$1286.09,,-$79.11,Apple Card
Interest Paid,3/10/2022,$1.20,,Interest,Savings,,$1.20,,-$77.91,Savings
Interest Paid,3/10/2022,$0.21,,Interest,Checking,,$0.21,,-$77.70,Checking
Gillian Wedding Fund,3/12/2022,$5.00,,,Checking,,$5.00,,-$72.91,Checking
Louie’s Tux Shop Down Payment,3/12/2022,,$25.00,Wedding,,Apple Card,-$25.00,,-$97.91,Apple Card
Urban Light Tithe,3/13/2022,,$40.00,Tithe (Legal),,Discover,-$40.00,,-$137.91,Discover
Chick-fil-A,3/14/2022,,$9.48,Food,,Apple Card,-$9.48,,-$147.39,Apple Card
Upland Gas,3/14/2022,,$45.62,Transportation,,Checking,-$45.62,,-$193.01,Checking
Discover Payment,3/15/2022,$184.42,$184.42,Misc,Discover,Savings,$0.00,,-$193.01,DiscoverSavings
Diff EQ Workbook,3/15/2022,,$15.00,Textbook,,Checking,-$15.00,,-$208.01,Checking
Spring Break Gas,3/20/2022,,$44.99,Transportation,,Apple Card,-$44.99,,-$253.00,Apple Card
Gma C. Christmas Gift,3/21/2022,$50.00,,Gift,Savings,,$50.00,,-$203.00,Savings
Subscription Acorns,3/21/2022,,$1.00,Investments,,Checking,-$1.00,,-$204.00,Checking
Escape Room with K & J,3/21/2022,,$36.00,Entertainment,,Checking,-$36.00,,-$240.00,Checking
Pizza With K&J,3/21/2022,,$20.00,Food,,Checking,-$20.00,,-$260.00,Checking
Contemp Audible,3/23/2022,,$4.27,Textbook,,Discover,-$4.27,,-$264.27,Discover
Contemp Book,3/23/2022,,$8.05,Textbook,,Discover,-$8.05,,-$272.32,Discover
ON THE ROCKS,3/23/2022,,$29.82,Food,,Apple Card,-$29.82,,-$302.14,Apple Card
Wright Book Contemp Textbook,3/23/2022,,$1.57,Textbook,,Gift Card,-$1.57,,-$303.71,Gift Card
Tim Kindle Book,3/24/2022,$7.00,$7.48,Groceries,Checking,Discover,-$0.48,,-$304.19,CheckingDiscover
Dollar General,3/24/2022,,$3.14,Travel,,Apple Card,-$3.14,,-$307.33,Apple Card
Indiana State Tax,3/24/2022,$299.00,$299.00,Work,Savings,Checking,$0.00,,-$307.33,SavingsChecking
Federal Taxes,3/24/2022,,$12.00,Work,,Checking,-$12.00,,-$319.33,Checking
Dollar General,3/25/2022,,$7.89,Groceries,,Apple Card,-$7.89,,-$327.22,Apple Card
Bob Alber Amazon Gift Card,3/25/2022,$10.00,,Gift,Gift Card,,$10.00,,-$317.22,Gift Card
Spring Break Gas,3/26/2022,,$39.59,Travel,,Discover,-$39.59,,-$356.81,Discover
Aquarium Spring Break,3/26/2022,,$96.77,Travel,,Apple Card,-$96.77,,-$453.58,Apple Card
Subway,3/27/2022,,$10.76,Food,,Apple Card,-$10.76,,-$464.34,Apple Card
Wedding Bands,3/28/2022,,$946.95,Wedding,,Apple Card,-$946.95,,-$1411.29,Apple Card
Spring Break Gas,3/28/2022,,$67.00,Travel,,Apple Card,-$67.00,,-$1478.29,Apple Card
Groomsman Attire,3/28/2022,$105.40,$100.00,Wedding,Checking,Checking,$5.40,,-$1472.89,CheckingChecking
Apple Subscription,3/28/2022,,$6.39,Entertainment,,Gift Card,-$6.39,,-$1479.28,Gift Card
Registry Transfer,3/29/2022,$575.00,,Wedding,Checking,,$575.00,,-$904.28,Checking
Spring Break Balancing,3/29/2022,$385.13,$466.30,Travel,Checking,Checking,-$81.17,,-$985.45,CheckingChecking
Wedding Night Accommodations Booking,3/29/2022,,$160.94,Wedding,,Apple Card,-$160.94,,-$1146.39,Apple Card
Catering Down Payment,3/30/2022,$400.00,$400.00,Wedding,Checking,Checking,$0.00,,-$1146.39,CheckingChecking
Apple Card Payment,3/31/2022,$504.32,$504.32,Misc,Apple Card,Savings,$0.00,,-$1146.39,Apple CardSavings
Apple Card Rewards,4/1/2022,$52.06,,Rewards,Checking,,$52.06,,-$1094.33,Checking
Daniel Catan Refund Amazon,4/3/2022,$42.37,$42.37,Misc,Gift Card,Checking,$0.00,,-$1094.33,Gift CardChecking
Amazon Gift Card Cotemp Books,4/3/2022,,$29.24,Textbook,,Gift Card,-$29.24,,-$1123.57,Gift Card
Contemp Audible Plantinga,4/3/2022,,$8.01,Textbook,,Discover,-$8.01,,-$1131.58,Discover
Contemp Book Plantinga,4/3/2022,,$20.48,Textbook,,Discover,-$20.48,,-$1152.06,Discover
Groomsman Bow Ties,4/5/2022,$75.58,$129.58,Wedding,Checking,Apple Card,-$54.00,,-$1206.06,CheckingApple Card
Liberty Mutual,4/6/2022,,$49.42,Transportation,,Checking,-$49.42,,-$1255.48,Checking
Interest Paid,4/10/2022,$1.40,,Interest,Savings,,$1.40,,-$1254.08,Savings
Interest Paid,4/10/2022,$0.10,,Interest,Checking,,$0.10,,-$1253.98,Checking
Gerig Hoedown PAD,4/11/2022,,$18.75,Entertainment,,Checking,-$18.75,,-$1272.73,Checking
Upland Gas,4/11/2022,,$45.67,Transportation,,Apple Card,-$45.67,,-$1318.40,Apple Card
Colorado Tax Refund,4/12/2022,$230.00,,Work,Checking,,$230.00,,-$1088.40,Checking
Honors Symphony Event,4/12/2022,,$10.00,Entertainment,,Checking,-$10.00,,-$1098.40,Checking
Urban Light,4/13/2022,,$40.00,Tithe (Legal),,Discover,-$40.00,,-$1138.40,Discover
Discover Payment,4/15/2022,$42.26,$42.26,Misc,Discover,Savings,$0.00,,-$1138.40,DiscoverSavings
Subscription Acorns,4/21/2022,,$1.00,Investments,,Checking,-$1.00,,-$1139.40,Checking
Upland Gas,4/24/2022,,$42.95,Transportation,,Discover,-$42.95,,-$1182.35,Discover
Daniel Loan,4/25/2022,$8000.00,$8000.00,Misc,Savings,Daniel Loan,$0.00,,-$1182.35,SavingsDaniel Loan
Wedding Gifts,4/26/2022,$530.00,,Wedding,Checking,,$530.00,,-$652.35,Checking
Tim Groomsman,4/28/2022,,,Work,,,$0.00,,-$652.35,
Apple Card Payment,4/30/2022,$2688.83,$2688.83,Misc,Apple Card,Savings,$0.00,,-$652.35,Apple CardSavings
O'hare Pretzels,5/2/2022,,$3.56,Food,,Apple Card,-$3.56,,-$655.91,Apple Card
Contemp: War of Loves Audible,5/3/2022,,$8.01,Textbook,,Discover,-$8.01,,-$663.92,Discover
Wedding Plastic Dishes,5/4/2022,$100.00,$192.58,Wedding,Checking,Discover,-$92.58,,-$756.50,CheckingDiscover
Liberty Mutual,5/4/2022,,$49.42,Transportation,,Checking,-$49.42,,-$805.92,Checking
Wedding Gift,5/4/2022,$50.00,,Wedding,Checking,,$50.00,,-$755.92,Checking
Rachel Wedding Gift,5/7/2022,$50.00,,Wedding,Gift Card,,$50.00,,-$705.92,Gift Card
Kris Mckenna Wedding Gift,5/7/2022,$100.00,,Wedding,Gift Card,,$100.00,,-$605.92,Gift Card
Interest Paid,5/10/2022,$0.15,,Interest,Checking,,$0.15,,-$605.77,Checking
Upland Gas,5/10/2022,,$42.04,Transportation,,Checking,-$42.04,,-$647.81,Checking
Interest Paid,5/10/2022,$2.73,,Interest,Savings,,$2.73,,-$645.08,Savings
Catering Venmo to M,5/11/2022,,$25.00,Wedding,,Checking,-$25.00,,-$670.08,Checking
Urban Light Tithe,5/13/2022,,$40.00,Tithe (Legal),,Discover,-$40.00,,-$710.08,Discover
Gas Upland,5/13/2022,,$41.35,Transportation,,Discover,-$41.35,,-$751.43,Discover
Wedding Favors,5/14/2022,,$40.02,Wedding,,Discover,-$40.02,,-$791.45,Discover
Discover Payment,5/15/2022,$127.88,$127.88,Misc,Discover,Savings,$0.00,,-$791.45,DiscoverSavings
Chicago Gas,5/16/2022,,$50.30,Transportation,,Discover,-$50.30,,-$841.75,Discover
Catering Venmo to M,5/16/2022,,$185.00,Wedding,,Checking,-$185.00,,-$1026.75,Checking
James Research Raffle,5/16/2022,$20.00,,Gift,Gift Card,,$20.00,,-$1006.75,Gift Card
Kroeze Wedding Gift,5/20/2022,$35.00,,Wedding,Checking,,$35.00,,-$971.75,Checking
Rosario Wedding Gift,5/20/2022,$50.00,,Wedding,Checking,,$50.00,,-$921.75,Checking
Rulli’s M Graduation Gift,5/20/2022,$50.00,,Gift,Cash,,$50.00,,-$871.75,Cash
Wedding Night Accommodations Final Payment,5/22/2022,,$187.40,Wedding,,Apple Card,-$187.40,,-$1059.15,Apple Card
Spotify,5/23/2022,,$4.99,Entertainment,,Discover,-$4.99,,-$1064.14,Discover
Subscription Acorns,5/23/2022,,$1.00,Investments,,Checking,-$1.00,,-$1065.14,Checking
TransfeSavings —> Checking,5/23/2022,$1000.00,$1000.00,Misc,Checking,Savings,$0.00,,-$1065.14,CheckingSavings
Catering Venmo to Sarah,5/24/2022,,$1931.71,Wedding,,Checking,-$1931.71,,-$2996.85,Checking
Airbnb Second Payment,5/24/2022,,$1254.40,Wedding,,Apple Card,-$1254.40,,-$4251.25,Apple Card
Mr. Cox Gift,5/24/2022,$14.00,,Wedding,Cash,,$14.00,,-$4237.25,Cash
Haenggi Graduation Gift,5/25/2022,$500.00,$250.00,Gift,Savings,Checking,$250.00,,-$3987.25,SavingsChecking
Apple Card Rewards,5/25/2022,$31.96,,Rewards,Checking,,$31.96,,-$3955.29,Checking
Haenggi Wedding Gift,5/25/2022,$1000.00,,Wedding,Savings,,$1000.00,,-$2955.29,Savings
Panda Express Dinner w/ Tim,5/25/2022,$6.20,$12.20,Food,Checking,Discover,-$6.00,,-$2961.29,CheckingDiscover
Seattle Ferry,5/27/2022,,$9.25,Travel,,Discover,-$9.25,,-$2970.54,Discover
Seattle Mexican Lunch,5/27/2022,,$13.64,Food,,Checking,-$13.64,,-$2984.18,Checking
Seattle French Bakery,5/28/2022,,$4.32,Food,,Apple Card,-$4.32,,-$2988.50,Apple Card
Seattle Doughnut,5/29/2022,,$2.48,Food,,Discover,-$2.48,,-$2990.98,Discover
Seattle Ice Cream,5/30/2022,,$8.77,Food,,Apple Card,-$8.77,,-$2999.75,Apple Card
Dr. Strange Tickets,5/30/2022,,$10.00,Entertainment,,Checking,-$10.00,,-$3009.75,Checking
Seattle Groceries,5/30/2022,,$20.00,Food,,Checking,-$20.00,,-$3029.75,Checking
Apple Card Payment,5/31/2022,$175.25,$175.25,Misc,Apple Card,Savings,$0.00,,-$3029.75,Apple CardSavings
Catering Venmo Difference,5/31/2022,,$91.01,Wedding,,Checking,-$91.01,,-$3120.76,Checking
Seatle Italian Dinner,6/1/2022,,$20.50,Food,,Checking,-$20.50,,-$3141.26,Checking
Wedding Favors and Gifts Walmart,6/1/2022,,$34.93,Wedding,,Gift Card,-$34.93,,-$3155.69,Gift Card
Grandma C Graduation & Wedding Gift,6/2/2022,$200.00,,Wedding,Checking,,$200.00,,-$2955.69,Checking
Wendy Mattson Wedding Gift,6/2/2022,$50.00,,Wedding,Checking,,$50.00,,-$2905.69,Checking
Marriage License,6/3/2022,,$30.00,Wedding,,Cash,-$30.00,,-$2935.69,Cash
Wedding Tux,6/3/2022,,$156.85,Wedding,,Discover,-$156.85,,-$3092.54,Discover
Wedding Favors and Gifts Walmart,6/3/2022,,$45.42,Wedding,,Discover,-$45.42,,-$3137.96,Discover
Groomsman Gifts,6/3/2022,,$32.39,Wedding,,Checking,-$32.39,,-$3170.35,Checking
Appetizer Tables,6/3/2022,,$100.00,Wedding,,Checking,-$100.00,,-$3270.35,Checking
Rachel Teal Wedding Gift,6/3/2022,$100.00,,Wedding,Checking,,$100.00,,-$3170.35,Checking
Bob Mortan Wedding Officiant,6/3/2022,,$100.00,Wedding,,Checking,-$100.00,,-$3270.35,Checking
Kris Mckenna Wedding Gift,6/3/2022,$50.00,,Wedding,Checking,,$50.00,,-$3220.35,Checking
Taylor Housing Deposit Refund,6/3/2022,$50.00,,Direct College,Savings,,$50.00,,-$3170.35,Savings
Flower Pots,6/4/2022,,$15.77,Wedding,,Discover,-$15.77,,-$3186.12,Discover
Haircut,6/4/2022,,$32.00,Cosmetics,,Apple Card,-$32.00,,-$3218.12,Apple Card
South Bend Gas,6/4/2022,,$52.10,Transportation,,Apple Card,-$52.10,,-$3270.22,Apple Card
Seattle Train,6/4/2022,,$3.00,Travel,,Apple Card,-$3.00,,-$3273.22,Apple Card
Mcdonalds Breakfast,6/4/2022,,$5.93,Food,,Apple Card,-$5.93,,-$3279.15,Apple Card
Honeymoon Groceries,6/6/2022,,$191.49,Groceries,,Discover,-$191.49,,-$3470.64,Discover
Liberty Mutual Car Insurance,6/6/2022,,$49.42,Transportation,,Checking,-$49.42,,-$3520.06,Checking
Gable Hill Deposit Repayment,6/6/2022,$300.00,,Wedding,Checking,,$300.00,,-$3220.06,Checking
Drummond Island Ferry,6/7/2022,,$20.00,Travel,,Discover,-$20.00,,-$3240.06,Discover
Honeymoon Gas 1,6/7/2022,,$58.70,Transportation,,Discover,-$58.70,,-$3298.76,Discover
Indiana State Tax,6/7/2022,,$329.83,Work,,Checking,-$329.83,,-$3628.59,Checking
South Bend AirBNB,6/7/2022,,$100.00,Travel,,Checking,-$100.00,,-$3728.59,Checking
Interest Paid,6/10/2022,$0.11,,Interest,Checking,,$0.11,,-$3728.48,Checking
Interest Paid,6/10/2022,$4.92,,Interest,Savings,,$4.92,,-$3723.56,Savings
Honeymoon Tolls,6/12/2022,,$8.00,Travel,,Cash,-$8.00,,-$3731.56,Cash
Honeymoon Groceries,6/13/2022,,$26.85,Groceries,,Apple Card,-$26.85,,-$3758.41,Apple Card
Urban Light Tithe,6/13/2022,,$40.00,Groceries,,Discover,-$40.00,,-$3798.41,Discover
Honeymoon Gas 2,6/14/2022,,$54.58,Transportation,,Apple Card,-$54.58,,-$3852.99,Apple Card
Honeymoon Gas 3,6/14/2022,,$57.55,Transportation,,Apple Card,-$57.55,,-$3910.54,Apple Card
Madison’s Tithe,6/14/2022,$104.00,,Misc,Cash,,$104.00,,-$3806.54,Cash
Hannah Wedding Gift,6/14/2022,$70.00,,Wedding,Cash,,$70.00,,-$3736.54,Cash
Grandma & Paw Paw,6/14/2022,$100.00,,Wedding,Cash,,$100.00,,-$3636.54,Cash
Zartmans,6/14/2022,$120.00,,Wedding,Cash,,$120.00,,-$3516.54,Cash
Boones Wedding Gift,6/14/2022,$40.00,,Wedding,Cash,,$40.00,,-$3476.54,Cash
Gassmans,6/14/2022,$100.00,,Wedding,Cash,,$100.00,,-$3376.54,Cash
Annie Goeller,6/14/2022,$200.00,,Wedding,Savings,,$200.00,,-$3176.54,Savings
Thomas Collins,6/14/2022,$500.00,,Wedding,Savings,,$500.00,,-$2676.54,Savings
Eric & Julie Swanson,6/14/2022,$100.00,,Wedding,Savings,,$100.00,,,Savings
Sylvia Fleetwood,6/14/2022,$30.00,,Wedding,Savings,,$30.00,,,Savings
Lora Ruark,6/14/2022,$25.00,,Wedding,Savings,,$25.00,,,Savings
Naoma Ruark,6/14/2022,$50.00,,Wedding,Savings,,$50.00,,,Savings
Liz Carpenter,6/14/2022,$100.00,,Wedding,Checking,,$100.00,,,Checking
Virginia Campbell,6/14/2022,$50.00,,Wedding,Savings,,$50.00,,,Savings
Mary Wood,6/14/2022,$50.00,,Wedding,Savings,,$50.00,,,Savings
Bethany Winkle Gift,6/14/2022,$71.60,$21.60,Wedding,Savings,Checking,$50.00,,,SavingsChecking
Unknown Cash Wedding Gift,6/14/2022,$120.00,,Wedding,Cash,,$120.00,,,Cash
Apple Card Rewards,6/14/2022,$8.76,,Rewards,Checking,,$8.76,,,Checking
Meyer Dougnuts,6/14/2022,,$3.00,Food,,Cash,-$3.00,,,Cash
Walmart Groceries,6/14/2022,,$90.00,Groceries,,Cash,-$90.00,,,Cash
Walmart Groceries,6/14/2022,,$0.13,Groceries,,Gift Card,-$0.13,,,Gift Card
Connie & Matt Lentsch,6/15/2022,$100.00,,Wedding,Savings,,$100.00,,,Savings
Flowers,6/15/2022,,$675.00,Wedding,,Checking,-$675.00,,,Checking
Zola Wedding Gifts,6/15/2022,$440.00,,Wedding,Checking,,$440.00,,,Checking
Madison's Money,6/15/2022,$363.64,,Misc,Checking,,$363.64,,,Checking
New City Parking,6/16/2022,,$8.00,Transportation,,Discover,-$8.00,,,Discover
Chicago Visit Gas,6/16/2022,,$54.67,Transportation,,Discover,-$54.67,,,Discover
Chicago Visit Tolls,6/16/2022,,$1.10,Transportation,,Discover,-$1.10,,,Discover
Discover Payment,6/16/2022,$415.21,$415.21,Misc,Discover,Savings,$0.00,,,DiscoverSavings
Chicago Trip Tolls,6/17/2022,,$5.90,Transportation,,Apple Card,-$5.90,,,Apple Card
Chicago Trip Tolls,6/17/2022,,$2.90,Transportation,,Apple Card,-$2.90,,,Apple Card
Chicago Trip Parking,6/18/2022,,$6.00,Transportation,,Apple Card,-$6.00,,,Apple Card
Coffee Table,6/18/2022,,$10.00,Housing,,Cash,-$10.00,,,Cash
Lunch with Alyssa,6/19/2022,,$20.00,Food,,Cash,-$20.00,,,Cash
Thank You Cards Stamps,6/20/2022,,$34.35,Wedding,,Gift Card,-$34.35,,,Gift Card
Wedding Tree Care,6/20/2022,,$14.94,Wedding,,Gift Card,-$14.94,,,Gift Card
Kate Airbnb Payment,6/20/2022,,$200.00,Housing,,Checking,-$200.00,,,Checking
ALDI Groceries,6/21/2022,,$11.03,Groceries,,Apple Card,-$11.03,,,Apple Card
Subscription Acorns,6/21/2022,,$1.00,Investments,,Checking,-$1.00,,,Checking
Atwater Application/Move In Fee,6/21/2022,,$500.00,Housing,,Checking,-$500.00,,,Checking
Colter Bay Campground,6/22/2022,,$49.95,Travel,,Apple Card,-$49.95,,,Apple Card
Spotify,6/23/2022,,$4.99,Entertainment,,Discover,-$4.99,,,Discover
Bridge Bay Campground,6/23/2022,,$33.09,Travel,,Apple Card,-$33.09,,,Apple Card
Canyon Campground,6/23/2022,,$38.80,Travel,,Apple Card,-$38.80,,,Apple Card
National Parks Pass,6/24/2022,,$85.00,Travel,,Apple Card,-$85.00,,,Apple Card
